A,GRPHLD,HA0,AGRAREA_HA,MT00	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NL	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL11	0 	: 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL12	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL13	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL21	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL22	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL31	: 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL32	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL33	0 	: 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL41	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NL42	0 	0 	: 	: 
A,GRPHLD,HA0,AGRAREA_HA,NO	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO01	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO02	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO03	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO04	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO05	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO06	0 	0 	0 	0 
A,GRPHLD,HA0,AGRAREA_HA,NO07	0 	0 	0 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT	4430 	13520 	15110 	18960 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT11	: 	710 	0 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT12	3840 	8590 	10070 	11280 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT21	: 	0 	0 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT22	0 	2060 	0 	2900 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT31	0 	1960 	2610 	3140 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT32	: 	: 	: 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT33	: 	: 	20 	: 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,AT34	: 	0 	: 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,BG	: 	: 	: 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,BG32	: 	: 	: 	0 
A,GRPHLD,HA0,C_LIVESTOCK_LSU,BG41	: 	: 	: 	0 
